petition_id,abstract_length,label_length,numberOfSignatures
1128,49,15,3287
1129,50,7,3276
1130,52,14,3270
1131,53,9,3259
1132,41,8,3254
1133,48,12,3252
1134,41,11,3251
1135,50,15,3240
1136,33,9,3237
1137,48,13,3231
1138,46,12,3222
1139,51,11,3221
1140,53,11,3217
1141,40,11,3214
1142,46,12,3207
1143,49,11,3191
1144,40,11,3178
1145,52,9,3164
1146,49,9,3153
1147,43,13,3144
1148,57,11,3135
1149,49,15,3129
1150,53,12,3127
1151,37,7,3127
1152,45,15,3123
1153,38,13,3118
1154,44,14,3118
1155,46,13,3116
1156,48,12,3115
1157,50,10,3114
1158,47,12,3112
1159,48,14,3104
1160,50,13,3100
1161,52,6,3095
1162,37,9,3094
1163,53,8,3083
1164,38,14,3082
1165,26,9,3080
1166,44,12,3074
1167,58,13,3061
1168,53,11,3060
1169,45,14,3059
1170,40,13,3045
1171,49,12,3038
1172,42,11,3034
1173,38,7,3033
1174,44,12,3032
1175,52,11,3027
1176,56,13,3014
1177,46,9,3011
1178,40,10,3009
1179,42,11,3002
1180,48,13,2995
1181,46,12,2990
1182,45,11,2984
1183,36,12,2976
1184,52,12,2970
1185,49,11,2964
1186,47,11,2959
1187,50,10,2958
1188,42,11,2957
1189,53,8,2957
1190,50,13,2955
1191,49,6,2946
1192,44,12,2946
1193,48,13,2945
1194,41,13,2942
1195,52,13,2935
1196,50,13,2924
1197,49,12,2924
1198,47,12,2923
1199,48,9,2922
1200,46,13,2902
1201,37,15,2901
1202,39,11,2896
1203,49,12,2881
1204,48,12,2878
1205,56,12,2877
1206,53,5,2872
1207,43,11,2870
1208,46,10,2869
1209,49,12,2869
1210,52,14,2868
1211,41,7,2865
1212,58,13,2860
1213,51,9,2860
1214,34,11,2858
1215,25,14,2857
1216,49,13,2849
1217,39,10,2846
1218,49,4,2842
1219,45,14,2836
1220,48,15,2831
1221,49,8,2831
1222,47,9,2830
1223,46,12,2822
1224,45,8,2821
1225,48,8,2812
1226,47,13,2810
1227,49,13,2804
1228,58,14,2804
1229,50,12,2802
1230,45,10,2798
1231,52,9,2788
1232,52,5,2786
1233,44,12,2784
1234,49,12,2778
1235,50,12,2777
1236,48,9,2774
1237,50,11,2771
1238,25,13,2760
1239,59,12,2748
1240,51,10,2746
1241,48,9,2736
1242,39,12,2726
1243,49,14,2721
1244,38,14,2718
1245,55,4,2713
1246,50,13,2712
1247,43,12,2709
1248,51,13,2706
1249,56,10,2706
1250,33,10,2694
1251,43,11,2692
1252,48,11,2690
1253,61,12,2685
1254,47,11,2683
1255,22,8,2672
1256,45,14,2670
1257,47,15,2664
1258,45,12,2659
1259,49,13,2652
1260,54,6,2649
1261,42,11,2636
1262,53,15,2635
1263,48,9,2632
1264,40,3,2628
1265,39,9,2628
1266,53,13,2625
1267,44,12,2621
1268,49,9,2617
1269,54,12,2614
1270,53,13,2614
1271,48,12,2613
1272,55,11,2613
1273,44,10,2609
1274,28,5,2602
1275,43,13,2599
1276,57,15,2599
1277,47,13,2588
1278,46,11,2585
1279,39,10,2581
1280,44,10,2578
1281,32,14,2576
1282,33,9,2574
1283,49,13,2564
1284,51,10,2564
1285,47,13,2562
1286,45,6,2562
1287,46,12,2554
1288,50,9,2549
1289,15,15,2540
1290,56,14,2538
1291,44,10,2536
1292,53,9,2535
1293,46,11,2532
1294,36,6,2527
1295,53,6,2525
1296,36,7,2523
1297,51,12,2521
1298,49,13,2509
1299,49,13,2509
1300,46,8,2506
1301,44,11,2505
1302,48,11,2502
1303,54,14,2501
1304,48,12,2496
1305,47,6,2493
1306,52,11,2492
1307,34,11,2485
1308,10,9,2484
1309,51,9,2477
1310,39,13,2473
1311,41,8,2471
1312,59,14,2470
1313,39,12,2468
1314,51,9,2467
1315,28,9,2466
1316,51,12,2462
1317,45,8,2460
1318,48,13,2460
1319,49,9,2456
1320,45,4,2452
1321,50,10,2451
1322,52,9,2445
1323,48,15,2441
1324,42,14,2437
1325,46,11,2435
1326,37,8,2432
1327,47,8,2426
1328,40,6,2425
1329,46,10,2416
1330,46,9,2405
1331,40,10,2403
1332,49,13,2401
1333,46,10,2394
1334,47,12,2392
1335,43,9,2391
1336,30,13,2382
1337,44,6,2382
1338,37,13,2379
1339,52,12,2375
1340,42,11,2375
1341,34,5,2370
1342,47,10,2366
1343,49,15,2364
1344,45,13,2363
1345,50,10,2357
1346,51,12,2355
1347,58,11,2353
1348,57,16,2351
1349,48,13,2351
1350,53,10,2347
1351,52,9,2345
1352,22,13,2343
1353,47,10,2342
1354,47,10,2341
1355,54,14,2339
1356,45,14,2337
1357,48,8,2336
1358,53,9,2333
1359,47,13,2331
1360,35,12,2328
1361,44,14,2328
1362,45,13,2326
1363,29,10,2324
1364,19,14,2321
1365,41,10,2320
1366,41,8,2320
1367,49,10,2315
1368,36,13,2306
1369,50,11,2300
1370,41,8,2298
1371,42,11,2298
1372,50,8,2295
1373,40,6,2294
1374,46,16,2292
1375,49,12,2292
1376,46,16,2280
1377,45,12,2277
1378,49,12,2277
1379,50,9,2276
1380,44,9,2274
1381,30,9,2273
1382,48,13,2271
1383,55,4,2263
1384,31,14,2258
1385,55,9,2256
1386,46,10,2255
1387,30,6,2254
1388,49,14,2253
1389,26,13,2252
1390,51,11,2251
1391,39,7,2247
1392,49,11,2246
1393,43,11,2238
1394,52,11,2236
